repo_name,no_of_contributions
firefox-data-store-docs,12
firefox-flicks,286
firefox-for-android-addons,20
firefox-hardware-report,206
firefox-health-backend,132
firefox-narrate-experiment,41
firefox-roku,31
firefox-sync-appengine,19
firefox-test-engineering,378
firefox-test-tube,593
firefox-themes,37
firefox-ui-tests,268
firefox10.org,333
firefox57-sprint,204
firefoxmarket,250
firefoxos-quick-start,87
firehug,34
fireplace,6305
fireplay-sublime,94
fission-dashboard,27
fjord,1823
flame-on,13
fleet,956
followonsearch,45
for-firefox,19
foresight,49
forums.mozilla.org,24
foundation-icons,37
foundation-security-advisories,430
foundation.mozilla.org,2551
foxyeah,17
frappe,522
friendlycode,660
frost,367
funfactory,129
fx-crash-sig,71
fx-share-addon,381
fx36start,57
fxa,17014
fxa-activity-metrics,80
fxa-amplitude-send,100
fxa-auth-db-mem,85
fxa-auth-db-mysql,583
fxa-auth-db-server,256
fxa-auth-mailer,205
fxa-auth-server,4161
fxa-basket-proxy,110
fxa-brickftp-copy,16
fxa-bugzilla-mirror,18
fxa-checkbox,47
fxa-common-password-list,4
fxa-content-experiments,53
fxa-content-server,3748
fxa-content-server-l10n,8352
fxa-crypto-relier,57
fxa-customs-server,326
fxa-deployment,63
fxa-dev,955
fxa-discoverability-shield-study,360
fxa-easter-egg,13
fxa-email-event-proxy,38
fxa-email-service,249
fxa-features,2
fxa-geodb,143
fxa-js-client,316
fxa-js-client-old,711
fxa-jwtool,13
fxa-local-dev,263
fxa-metrics-dashboard,14
fxa-monorepo-prep,262
fxa-notification-server,39
fxa-notifier-aws,3
fxa-oauth-client,8
fxa-oauth-console,121
fxa-oauth-server,726
fxa-pairing-channel,81
fxa-password-strength-checker,30
fxa-profile-server,536
fxa-python-client,56
fxa-reconcile-with-salesforce,18
fxa-relier-client,40
fxa-relier-tests,2
fxa-retention-metrics,61
fxa-scrypt-helper,44
fxa-shared,70
fxa-sms-forecast,38
fxa-webpagetest-driver,4
fxa-webpagetest-settings,1
fxa-webrtc-idp,2
fxapom,332
fxc2,15
fxemoji,10
fxmonitor-remotesettings-updater,11
fxoss,288
fxpay,339
fxtest-dashboard,145
fxtest-jenkins-pipeline,67
fxtestbot,48
g2p,29
gaia-custom-elements,1
galaxy,640
galaxy-api,573
galaxy-api-python-client,13
galaxy.js,16
galaxy.js-mobile-gamepad,94
gameon,368
games.mozilla.org,315
gamesaver,54
gcli,3544
