,username,repo_name,no_of_contributions
19847,BenWu,fx-crash-sig,27
19899,BenWu,gcp-ingestion,3
17676,BenWu,missioncontrol,2
16795,BenWu,mozilla-reports,1
17460,BenWu,probe-scraper,12
17425,BenWu,python_mozetl,7
15041,BenWu,telemetry-airflow,48
12822,BenWu,telemetry-batch-view,2
16980,BenWu,telemetry-streaming,4
14111,BenediktNiehues,smarthome,2
12698,BenjaminHoegh,platform-status,2
5642,BenjaminPoulain,arewefastyet,2
12178,BenoitKnecht,sops,1
13124,BensongChen,moz-skia,12
19130,BergischNRW,policy-templates,1
9167,Bexatron,ascendproject,20
6657,Bexatron,popcorn.webmaker.org,1
8496,BjornArnelid,MozDef,10
10699,BjornArnelid,mozdef_client,1
15157,BobCochran,positron-electron,5
14974,BobCochran,tofino-electron,5
14190,BogdanvL,kaldi,4
4642,Boldewyn,WebGameStub,1
5786,BorisChiou,layerscope,25
13654,BorisChiou,release-services,2
12179,BorisKourt,sops,1
13324,BrDon,lean-data-practices,9
6216,Brandon-Beck,personas-plus,1
11133,BreakPAST,learning.mozilla.org,1
4253,BrendanEich,integration-mozilla-inbound,1032
2689,BrendanEich,mozilla-history,1027
856,BrendanEich,narcissus,17
12279,BrendanEich,newtab-dev,1037
3458,BrendanEich,pjs,1030
14712,BrendanEich,positron,1037
16406,BrendanEich,spiderweb,1037
11429,BrendanEich,universal-search-gecko-dev,1037
14325,BrookeDot,wp-calypso,9
4614,BrunoDeBarros,WebGameStub,1
16144,BrunoSalerno,redash,9
14502,BrushfireDigitalServices,Java-WebSocket,4
12024,BryanRJ,git-repo,3
15617,BychekRU,activate.mozilla.community,37
17168,BychekRU,activity-stream-l10n,11
13805,BychekRU,addons-frontend,95
12479,BychekRU,addons-linter,4
8381,BychekRU,addons-server,111
9517,BychekRU,advocacy.mozilla.org,6
19622,BychekRU,blurts-addon,1
18620,BychekRU,blurts-server,45
19316,BychekRU,contain-facebook,4
11836,BychekRU,donate.mozilla.org,25
5972,BychekRU,fireplace,5
8601,BychekRU,fxa-content-server-l10n,88
11096,BychekRU,learning.mozilla.org,10
10514,BychekRU,loop-client-l10n,11
17753,BychekRU,notes,12
15516,BychekRU,outofdate-notifications-system-addon,1
1176,BychekRU,pontoon,4
17881,BychekRU,send,14
6397,BychekRU,thimble.mozilla.org,35
61,BychekRU,zamboni,13
14769,BynariStar,http-observatory-website,2
524,CIAvash,addon-sdk,3
5785,CJKu,layerscope,27
10020,CKumarRituRaj,pontoon-intro,20
19131,CLiX90,policy-templates,1
15259,CR1AT0RS,DeepSpeech,3
814,Cai0407,nightlytt,3
7438,Caiyeon,mig,1
9962,Caiyeon,tls-observatory,2
8141,Calinou,mozjpeg,1
11032,Calinou,readability,1
19539,Callek,application-services,1
10239,Callek,balrog-ui,1
10712,Callek,bugherder,1
6521,Callek,build-autoland,1
10628,Callek,build-cleanslate,1
8452,Callek,build-mapper,5
5267,Callek,build-mozharness,69
5330,Callek,build-opsi-package-sources,2
5332,Callek,build-preproduction,2
5343,Callek,build-puppet-manifests,8
8819,Callek,build-relengapi,328
10208,Callek,build-relengapi-clobberer,5
10121,Callek,build-relengapi-slaveloan,211
7898,Callek,build-relengdocs,1
5353,Callek,build-rpm-sources,1
15537,Callek,build-slaveapi,29
5417,Callek,build-talos,1
5449,Callek,build-tools,200
20317,Callek,glean,1
2781,Callek,graphs,2
10353,Callek,moz-corsica,1
234,Callek,mozregression,1
13621,Callek,release-services,328
4403,Callek,releases-comm-central,194
15073,Callek,releasewarrior,38
8560,Callek,releng-jacuzzis,7
6177,Callek,treeherder,5
12543,Callek,version-control-tools,10
4586,Calvein,WebGameStub,2
11170,Carl-r,reps-edu,1
11578,Carotejada,learning-networks,78
17579,Carotejada,mozillaclubs,529
15231,CatalinVoss,DeepSpeech,41
9410,CathrynStickel,OpenWPM,1
10102,Cedric31,pontoon-intro,3
8107,CendioOssman,mozjpeg,51
15825,ChALkeR,positron-spidernode,22
14606,ChALkeR,spidernode,31
16505,ChALkeR,spiderweb-spidernode,22
10758,Chaasof,masterfirefoxos-l10n,1
2999,Chaasof,pad,1
18487,Chamberlain-Joshua,reticulum,1
7545,CharlesChong,galaxy,30
8064,CharlesChong,galaxy-api,48
15129,CharlieHess,positron-electron,15
14910,CharlieHess,tofino-electron,50
4851,ChenKS12138,nunjucks,1
17972,ChenMorpheus,testpilot-assets,181
18687,Chengings,blurts-server,3
19336,Chengings,contain-facebook,2
5993,Chengings,fireplace,2
8651,Chengings,fxa-content-server-l10n,28
15520,Chengings,outofdate-notifications-system-addon,1
9041,Chengings,yogafire,2
20305,ChinYing-Li,glean,4
16133,ChiragKParmar,redash,17
10034,Chrescht,pontoon-intro,8
3019,ChrisOelmueller,mozilla-pootle-extras,1
13582,ChujunGeng,web-ext,1
18044,ChunMinChang,audioipc-2,1
2435,ChunMinChang,cubeb,65
19981,ChunMinChang,cubeb-coreaudio-rs,778
17414,ChunMinChang,cubeb-pulse-rs,1
17245,ChunMinChang,cubeb-rs,7
12749,ChunMinChang,mp4parse-rust,6
17945,Cj-Malone,irlpodcast,2
17563,ClarkWang-2013,authenticator-rs,1
2014,ClementDagneau,dxr,2
19118,Clickbaitcake,policy-templates,4
14858,CoRfr,sccache,1
12848,CodeMaxx,wptview,2
15694,Codexpanda,activate.mozilla.community,1
1613,CodingFabian,pdf.js,26
20467,Conjuror,bigquery-etl,3
16978,Conjuror,telemetry-streaming,6
518,Connorhd,addon-sdk,3
531,ConradIrwin,addon-sdk,2
2399,ConradIrwin,source-map,1
5659,Constellation,arewefastyet,1
3176,Constellation,shumway,1
7952,CorneliuRusu,legal-docs,144
7620,CosminSabou,gecko-dev,1655
2335,CptnKrunch,butter,2
13911,CrackerStealth,openhab,27
14042,CrackerStealth,openhab2-addons,2
8504,CrazyLlama,MozDef,1
19132,CreeperKong,policy-templates,1
11762,Cronus1007,fxa,2
17558,Crote,authenticator-rs,1
17575,CruzBishop,moz-cheddar,1
13027,CtrlZvi,chat.mozillafoundation.org,2
6944,CupIvan,MozStumbler,5
3315,CuriousLearner,remo,4
15230,Cwiiis,DeepSpeech,63
15713,Cwiiis,git-auto-updater,5
16614,Cwiiis,haiku-gaia-experiments,385
15419,Cwiiis,vaani.client,5
15874,Cwiiis,vaani.raspberrypi,2
15719,Cwiiis,wakeword,14
18147,DCastagna,aom,1
7233,DGRamya,fxa-content-server,1
4074,DVirgil,mozmill-automation,1
6951,DaAllexx,MozStumbler,3
17182,DaddyAG,activity-stream-l10n,8
17325,DaddyAG,copyright,1
11857,DaddyAG,donate.mozilla.org,12
15501,DaddyAG,outofdate-notifications-system-addon,1
17892,DaddyAG,send,11
3108,DaisukeAkatsuka,parapara,3
1187,DamienCassou,pontoon,1
877,Damte,prospector,1
15270,DanBmh,DeepSpeech,2
14052,DanNixon,openhab2-addons,1
14329,DanReyLop,wp-calypso,8
378,DanVentura,popcorn-js,23
12482,DandelionSprout,addons-linter,3
17366,DanielChabrowski,grcov,1
14501,DanielYWoo,Java-WebSocket,4
4625,Danmer,WebGameStub,1
8497,DarkPrince304,MozDef,7
8501,Darkspirit,MozDef,2
19937,Darkspirit,crash-stop-addon,1
2099,Darshnik,mozillians,1
11026,DavidBruant,readability,1
7112,DavidBruant,webliteracymap,2
18859,DavidGoedicke,snakepit,1
19124,DavidLiedke,policy-templates,2
16054,DavidNorman,tensorflow,77
14496,Davidiusdadi,Java-WebSocket,297
20542,DawoodShahat,mozilla-schema-generator,2
3653,DeadSuperHero,browserid-cookbook,3
4405,Decathlon1578,releases-comm-central,174
14211,DeepHorizons,kaldi,1
17473,DegCode,probe-scraper,1
278,Deimos,bleach,2
19220,Delkhaz,bugbug,1
7728,Denisov21,brackets,45
13958,Dennis650,openhab,8
7710,DennisKehrig,brackets,150
6879,DerekRies,kanbanzilla,131
1895,DevCharly,rhino,2
9412,Devjeel,OpenWPM,1
5940,Devon1B,fireplace,24
10734,Devon1B,masterfirefoxos-l10n,19
8249,Devon1B,spartacus,14
20281,DewiBrynJones,CorporaCreator,4
15272,DewiBrynJones,DeepSpeech,2
553,Dexterp37,addon-sdk,1
19512,Dexterp37,application-services,5
18041,Dexterp37,audioipc-2,1
20472,Dexterp37,bigquery-etl,2
5379,Dexterp37,build-talos,3
19888,Dexterp37,canary_anomaly_detection,2
9654,Dexterp37,cerberus,1
17091,Dexterp37,data-docs,8
6276,Dexterp37,fhr-jelly,2
14423,Dexterp37,firefox-hardware-report,15
20297,Dexterp37,glean,887
20125,Dexterp37,glean_parser,33
12894,Dexterp37,loop,1
12967,Dexterp37,loop-test,1
16783,Dexterp37,mozilla-reports,9
16820,Dexterp37,probe-dictionary,10
17459,Dexterp37,probe-scraper,19
17426,Dexterp37,python_mozetl,5
10660,Dexterp37,python_moztelemetry,8
17998,Dexterp37,rappor,1
18266,Dexterp37,rappor-aggregator,2
18222,Dexterp37,shield-study-rappor,3
17442,Dexterp37,taar,20
18258,Dexterp37,taar-api,7
19451,Dexterp37,taar-api-lite,7
15048,Dexterp37,telemetry-airflow,12
12811,Dexterp37,telemetry-batch-view,25
6545,Dexterp37,telemetry-dashboard,12
12725,Dexterp37,telemetry-onboarding,3
13553,Dexterp37,web-ext,1
11100,Dilorom2017,learning.mozilla.org,8
11913,DimaLeon2000,fxemoji,1
15654,DineshMv,activate.mozilla.community,4
9544,DineshMv,advocacy.mozilla.org,1
8665,DineshMv,fxa-content-server-l10n,18
10545,DineshMv,loop-client-l10n,3
15486,DineshMv,outofdate-notifications-system-addon,1
10115,DineshMv,pontoon-intro,2
19821,Dineshkarthik,PyHive,1
18814,DinisCruz,ctf-austin,1
139,Dinodog,kitsune,8
12458,Divya063,addons-linter,6
17775,Divya063,notes,5
6929,Djfe,MozStumbler,27
18015,Doerge,infosec.mozilla.org,1
18201,Dottori,firefox-code-coverage-frontend,9
6172,Dottori,treeherder,5
18441,DougReeder,hubs,3
8897,DouglasSherk,buddyup,1
16641,DouglasSherk,haiku-gaia-experiments,247
10279,DrMarcII,geckodriver,1
15841,DrPizza,positron-spidernode,15
14649,DrPizza,spidernode,15
16521,DrPizza,spiderweb-spidernode,15
13976,Drassen,openhab,5
5691,Dreyer,hawk,4
5956,DronRathore,fireplace,8
9021,DronRathore,yogafire,8
2450,Duncaen,cubeb,3
14821,Dushistov,sccache,4
6561,Dyex719,telemetry-dashboard,2
14820,Dylan-DPC,sccache,5
1308,DylannCordel,unicode-slugify,5
3688,Edely,marketplace-tests,2
5503,EdgarChen,build-tools,1
18889,Edresson,TTS,53
14773,EduardoRT,http-observatory-website,1
18037,Eijebong,audioipc-2,3
17546,Eijebong,authenticator-rs,3
17411,Eijebong,cubeb-pulse-rs,1
17249,Eijebong,cubeb-rs,1
18943,Eijebong,rkv,1
17004,Eijebong,webrtc-sdp,1
15396,Ekleog,nixpkgs-mozilla,1
15647,Elched,activate.mozilla.community,5
18680,Elched,blurts-server,4
12696,Elchi3,platform-status,3
15322,Elleo,DeepSpeech,1
7095,Emantor,cipherscan,2
10564,EmiXLabs,loop-client-l10n,2
12368,EnTeQuAk,addons,76
12416,EnTeQuAk,addons-linter,997
12736,EnTeQuAk,addons-nginx,16
13191,EnTeQuAk,addons-robot,1
8319,EnTeQuAk,addons-server,3207
1233,EnTeQuAk,amo-validator,128
13084,EnTeQuAk,dispensary,20
573,EnTeQuAk,django-csp,35
13358,EnTeQuAk,django-post-request-task,17
11613,EnTeQuAk,eslint-plugin-no-unsanitized,1
11059,EnTeQuAk,fxapom,1
17826,EnTeQuAk,potools,9
12092,EnTeQuAk,python-spidermonkey,3
5250,EnTeQuAk,schematic,2
14458,EnTeQuAk,sign-addon,1
5611,EnTeQuAk,signing-clients,35
15381,Enzime,nixpkgs-mozilla,2
16624,EragonJ,haiku-gaia-experiments,323
9366,EricEdens,fennec-search,111
3230,EricRahm,areweslimyet,122
3221,EricRahm,areweslimyet-benchtester,1
4091,EricRahm,mozdownload,4
210,EricRahm,mozregression,6
9642,EricRahm,pluotsorbet,24
19674,EricRahm,rust-size,8
1493,Errolyn,bedrock,28
7986,Errolyn,legal-docs,3
19070,Errolyn,protocol,5
19640,Errolyn,protocol-assets,1
5878,ErvisTusha,minion,1
4117,Ethcelon,mozdownload,1
4076,Ethcelon,mozmill-automation,1
14511,Eugene-Kudelevsky,Java-WebSocket,1
9163,EvaCatHerder,ascendproject,25
19133,Evans-Notch,policy-templates,1
11029,EvsChen,readability,1
8114,EwoutH,mozjpeg,3
12690,ExE-Boss,platform-status,10
16221,ExE-Boss,webextension-polyfill,9
10254,F3real,mozilla_ci_tools,5
11651,F3real,pulse_actions,5
13413,F3real,releasehealth,1
14816,F3real,sccache,7
14760,FGRibreau,http-observatory-cli,1
11145,FHRNet,learning.mozilla.org,1
17776,FHRNet,notes,5
15673,FJduFou,activate.mozilla.community,2
11136,FabioBeneditto,learning.mozilla.org,1
10553,FabioBeneditto,loop-client-l10n,2
18150,FabioPedretti,aom,1
9599,FallDi,foundation-security-advisories,1
14037,FallenRiteMonk,openhab2-addons,3
11030,Farbdose,readability,1
18021,FelixHeal,infosec.mozilla.org,1
10968,FernandaBernardo,games.mozilla.org,5
2455,Filoppi,cubeb,2
6983,Firefishy,MozStumbler,1
18707,Fischer-L,tab-split,53
15785,Fishrock123,positron-spidernode,105
14576,Fishrock123,spidernode,120
16464,Fishrock123,spiderweb-spidernode,105
15603,Fjoerfoks,activate.mozilla.community,90
17150,Fjoerfoks,activity-stream-l10n,19
13784,Fjoerfoks,addons-frontend,166
12453,Fjoerfoks,addons-linter,7
8341,Fjoerfoks,addons-server,328
9512,Fjoerfoks,advocacy.mozilla.org,9
19602,Fjoerfoks,blurts-addon,1
18604,Fjoerfoks,blurts-server,98
6825,Fjoerfoks,commbadge,3
19276,Fjoerfoks,contain-facebook,13
17305,Fjoerfoks,copyright,9
11809,Fjoerfoks,donate.mozilla.org,72
5937,Fjoerfoks,fireplace,28
8570,Fjoerfoks,fxa-content-server-l10n,210
11104,Fjoerfoks,learning.mozilla.org,7
7992,Fjoerfoks,legal-docs,2
10491,Fjoerfoks,loop-client-l10n,25
7363,Fjoerfoks,marketplace-stats,2
17731,Fjoerfoks,notes,23
15521,Fjoerfoks,outofdate-notifications-system-addon,1
11995,Fjoerfoks,payments-l10n,1
10061,Fjoerfoks,pontoon-intro,5
17846,Fjoerfoks,send,36
8280,Fjoerfoks,spartacus,3
