,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ft_uname,ft_rname,ft_commit_date,author_association,merged_status,pull_title,pull_msg,pullauthordate,pullid,ft_total_changes,ft_addns,ft_delns,commitauthordate,commitid,pullcommitsha,pullcommitmsg,repodesc,repolang
6535,10129,15884,10129,jklukas,mozilla-schema-generator,2020-08-27T13:27:48Z,CONTRIBUTOR,True,Inject mozPipelineMetadata to generated Glean json schemas,"Makes Glean JSON schemas parallel to hand-written JSON schemas. See
https://github.com/mozilla-services/mozilla-pipeline-schemas/pull/579",2020-08-27T13:29:26Z,https://api.github.com/repos/mozilla/mozilla-schema-generator/pulls/139,30.0,21.0,9.0,2020-08-27T13:27:48Z,1996c723cf72e94e2197c3d155fb2b8ecfc555df,1996c723cf72e94e2197c3d155fb2b8ecfc555df,"Inject mozPipelineMetadata to generated Glean json schemas

Makes Glean JSON schemas parallel to hand-written JSON schemas. See
https://github.com/mozilla-services/mozilla-pipeline-schemas/pull/579",A library for creating full representations of Mozilla telemetry pings.,Python
6559,4570,4570,4570,jlin,moz-corsica,2015-06-17T19:14:39Z,CONTRIBUTOR,True,add FFX CampaignMeter static image,"update state.json - add FFX CampaignMeter static image - working with Chelsea Novak to put up weekly stats of our campaign.

Hi Moz-Corsica maintainers! We have a new graphic for the FFx Campaign currently running! Let me know if you have questions. It's a static image for inclusion into the ambient displays running moz-corsica.

Thanks!
Jonathan
",2015-06-17T19:16:49Z,https://api.github.com/repos/mozilla/moz-corsica/pulls/30,1.0,1.0,0.0,2015-06-17T19:14:39Z,9c45bbcb65a3870225d0e95f9195789eb6a251bf,9c45bbcb65a3870225d0e95f9195789eb6a251bf,"add FFX CampaignMeter static image

update state.json - add FFX CampaignMeter static image - working with Chelsea Novak to put up weekly stats of our campaign.",Public Corsica instance for the ambient Mozilla office,Shell
6560,4571,4571,4571,jlin,moz-corsica,2015-06-17T20:30:45Z,CONTRIBUTOR,True,add FFX CampaignMeter static image,"update state.json - add FFX CampaignMeter static image - working with Chelsea Novak to put up weekly stats of our campaign.

Hi Moz-Corsica maintainers! We have a new graphic for the FFx Campaign currently running! Let me know if you have questions. It's a static image for inclusion into the ambient displays running moz-corsica.

Thanks!
Jonathan
",2015-06-17T19:16:49Z,https://api.github.com/repos/mozilla/moz-corsica/pulls/30,2.0,1.0,1.0,2015-06-17T20:30:45Z,3ada5b04bf3e35808dea766893423c8aca2e11bd,3ada5b04bf3e35808dea766893423c8aca2e11bd,"Update state.json

ahh sorry about that.",Public Corsica instance for the ambient Mozilla office,Shell
6561,7758,13513,7758,jlongster,mcom-tests,2011-12-06T23:24:13Z,MEMBER,True,"add more newsletter tests for other forms (international, etc)","These are more tests for newsletters. It includes the international forms and the email pref forms.
",2011-12-06T23:28:28Z,https://api.github.com/repos/mozilla/mcom-tests/pulls/14,186.0,152.0,34.0,2011-12-06T23:24:13Z,c9ffeec6af723ca6d4b7039807ead8a144fb5238,c9ffeec6af723ca6d4b7039807ead8a144fb5238,"add more newsletter tests for other forms (international, etc)",Tests for Mozilla's website.,
6562,7900,13655,7900,jmaher,active-data-recipes,2017-10-11T20:46:50Z,CONTRIBUTOR,True,support code coverage source.file count per test suite,,2017-10-11T20:47:21Z,https://api.github.com/repos/mozilla/active-data-recipes/pulls/2,73.0,73.0,0.0,2017-10-11T20:46:50Z,5648aee5de469b7a62f168356c75f7a1d94f8211,5648aee5de469b7a62f168356c75f7a1d94f8211,support code coverage source.file count per test suite,A repository of various activedata queries and recipes,Python
6563,7899,13654,7899,jmaher,active-data-recipes,2017-10-16T19:05:01Z,CONTRIBUTOR,True,use optimized query and account for all suites and sub-suites,,2017-10-16T19:05:27Z,https://api.github.com/repos/mozilla/active-data-recipes/pulls/3,94.0,50.0,44.0,2017-10-16T19:05:01Z,6496c938a0f871b0cb501a29be098ccf23345d48,6496c938a0f871b0cb501a29be098ccf23345d48,use optimized query and account for all suites and sub-suites,A repository of various activedata queries and recipes,Python
6564,7898,13653,7898,jmaher,active-data-recipes,2017-10-18T20:57:29Z,CONTRIBUTOR,True,add support for finding the minimum number of jobs needed to gain max…,…imum coverage on a given file,2017-10-18T20:58:12Z,https://api.github.com/repos/mozilla/active-data-recipes/pulls/4,109.0,109.0,0.0,2017-10-18T20:57:29Z,1807457fdc232ab05bdd304354f83d082bb50fea,1807457fdc232ab05bdd304354f83d082bb50fea,add support for finding the minimum number of jobs needed to gain maximum coverage on a given file,A repository of various activedata queries and recipes,Python
6565,7897,13652,7897,jmaher,active-data-recipes,2017-10-19T14:39:56Z,CONTRIBUTOR,True,"support for ignoring perf suites, chunked jobs; also adding list of t…",…op level directories and support to iterate over them and create a master coverage map,2017-10-19T14:40:18Z,https://api.github.com/repos/mozilla/active-data-recipes/pulls/6,209.0,146.0,63.0,2017-10-19T14:39:56Z,15ddbb483883aa4f94404dcfaac1a300266c8f19,15ddbb483883aa4f94404dcfaac1a300266c8f19,"support for ignoring perf suites, chunked jobs; also adding list of top level directories and support to iterate over them and create a master coverage map",A repository of various activedata queries and recipes,Python
6566,7896,13651,7896,jmaher,active-data-recipes,2017-11-10T19:22:02Z,CONTRIBUTOR,True,"fix raw_coverage to have complete file list, add file_counts for regu…","…lar reporting

adr file_counts:
┌──────────────┬─────────────┬───────────────┐
│ Revision     │ Total Files │ Total Covered │
├──────────────┼─────────────┼───────────────┤
│ ed94dc665071 │ 90236       │ 231245        │
│ 41a66272bd11 │ 86661       │ 231245        │
│ 277e2ae05f74 │ 98077       │ 231245        │
│ cbebb4f65eea │ 88749       │ 231241        │
│ 6409f04e33d6 │ 93420       │ 231237        │
│ 2bdf6eed0f64 │ 84760       │ 231237        │
│ 05ae89bebb64 │ 83436       │ -1            │
│ 2203d23429f6 │ 97376       │ 231227        │
│ d16b52f5d195 │ 93991       │ 231227        │
│ bda35e3d8ce4 │ 87273       │ 231211        │
└──────────────┴─────────────┴───────────────┘

in addition, the code for querying all files covered and related suites accounts for large subdirs and will iterate to subdirs if needed- still sort of sloppy, but is a lot more accurate than we had prior to this PR",2017-11-10T19:24:25Z,https://api.github.com/repos/mozilla/active-data-recipes/pulls/7,180.0,169.0,11.0,2017-11-10T19:22:02Z,c08876ec38915fa8329c8d652d65535558a1a161,c08876ec38915fa8329c8d652d65535558a1a161,"fix raw_coverage to have complete file list, add file_counts for regular reporting",A repository of various activedata queries and recipes,Python
6567,7895,13650,7895,jmaher,active-data-recipes,2017-12-05T18:19:35Z,CONTRIBUTOR,True,"Add queries for config runtime, task runtime, and test case runtime",,2017-12-05T18:22:09Z,https://api.github.com/repos/mozilla/active-data-recipes/pulls/8,208.0,206.0,2.0,2017-12-05T18:19:35Z,6356c2783bfa5b9547f84dd531030fac7a13ccf6,6356c2783bfa5b9547f84dd531030fac7a13ccf6,"add support for timing measurements of configs, tasks, tests",A repository of various activedata queries and recipes,Python
6568,7894,13649,7894,jmaher,active-data-recipes,2017-12-21T16:20:11Z,CONTRIBUTOR,True,"add recipies for average time/config, intermittent tests and their ra…","…te per config, and intermittent rate for a test across all configs",2017-12-21T16:24:33Z,https://api.github.com/repos/mozilla/active-data-recipes/pulls/9,205.0,205.0,0.0,2017-12-21T16:20:11Z,94726f60f4fc9d5d2d14287563c28d5938a44c7a,94726f60f4fc9d5d2d14287563c28d5938a44c7a,"add recipies for average time/config, intermittent tests and their rate per config, and intermittent rate for a test across all configs",A repository of various activedata queries and recipes,Python
6569,12572,65745,12572,jmandel,jschannel,2011-05-23T18:34:53Z,NONE,True,Normalize channel origin to lower-case (with test case),"Addresses https://github.com/mozilla/jschannel/issues/10
",2011-05-23T21:13:11Z,https://api.github.com/repos/mozilla/jschannel/pulls/11,9.0,8.0,1.0,2011-05-23T18:34:53Z,94576c4c1bf13894d8bbf0469e56c69b7cad3672,94576c4c1bf13894d8bbf0469e56c69b7cad3672,normalize channel origin to lower-case (with test case),A JavaScript library which implements fancy IPC semantics on top of postMessage.,JavaScript
6570,3529,3529,3529,jmandel,browserid-crypto,2013-02-14T01:31:07Z,CONTRIBUTOR,True,"README fix: log publicKey with .serialize(), not .toString()",".toString() produces ""[object Object]"" ...
",2013-02-14T01:31:40Z,https://api.github.com/repos/mozilla/browserid-crypto/pulls/57,3.0,1.0,2.0,2013-02-14T01:31:07Z,8ffc6e18c41cc2072bc012477021984ecb5d6c8c,8ffc6e18c41cc2072bc012477021984ecb5d6c8c,"log publicKey with .serialize(), not .toString()

.toString() produces ""[object Object]"" ...","JavaScript implementation of JSON Web Signatures, JSON Web Tokens, and JSON Web Certificates",JavaScript
